title,category,tags,description,image,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large
Inside Cinema - Shorts:,Documentaries,"BBC, iPlayer, TV, Inside Cinema, Shorts: 76. The B Word",The B in LGBTQ+ sometimes gets shortchanged in cinema - Catherine Bray asks why.,https://ichef.bbci.co.uk/images/ic/1200x675/p09xwbv2.jpg,7 mins,437,13 Oct 2021,The B in LGBTQ+ sometimes gets shortchanged in cinema - Catherine Bray asks why.,"Just because cinema doesn’t feature loads of out and proud bisexuals in lead roles, doesn’t mean bisexuality doesn’t exist! Catherine Bray explores bisexual representation in film","People who are actually attracted to more than one gender are everywhere in the real world, whether they decide to call themselves straight, homosexual, bisexual, pansexual — or prefer not to label their sexuality. But bisexuality is more often hinted at or implied in cinema, and when bisexuality is mentioned by name, it’s not always exactly flattering. But just because the movies don’t feature loads of out and proud bisexuals in lead roles, doesn’t mean bisexual behaviour, coded or otherwise, isn’t a big part of cinema — whether or not the B-word is ever mentioned. Catherine Bray looks at bisexuality onscreen, to see how bisexuals have been characterised — and mischaracterised — in pop culture."
World's End,CBBC,"BBC, iPlayer, TV, Worlds End, 35. Beyond Hope",Caseys selfish game plan becomes very clear and Noah has to make a big decision.,https://ichef.bbci.co.uk/images/ic/1200x675/p02qsgjc.jpg,13 mins,765,14 May 2015,Casey's selfish game plan becomes very clear and Noah has to make a big decision.,"Drama series. Casey's previous lie to Moira has sent her to the castle for help, while Lexy, Gaia and Lucky the dog join the search for Gregor.","Casey's selfish game plan becomes very clear and Noah has to make a big decision. Casey's previous lie to Moira has sent her desperate to the castle for help, and Lexy, Gaia and Lucky the dog join the search for Gregor. Down in the SZ, Casey seems to have the upper hand. He condemns them all to the asteroid's impact."
So Awkward - Still So Awkward:,Signed,"BBC, iPlayer, TV, So Awkward, Still So Awkward: 2. Monological","Lily and Claire compete in a monologue slam, and Seb gets ready to surprise his flatmates.",https://ichef.bbci.co.uk/images/ic/1200x675/p09q7c9k.jpg,28 mins,1689,26 Jul 2021,"Lily and Claire compete in a monologue slam, and Seb gets ready to surprise his flatmates.","Lily and Claire compete in a monologue slam, Frankie and Samson try to help Seb fall in love with agriculture, and Seb and Josh prepare a surprise.",No data found
Andy's Prehistoric Adventures,Signed,"BBC, iPlayer, TV, Andys Prehistoric Adventures, 22. Paraceratherium and Skin",Andy meets the largest mammal ever to walk the earth in prehistoric Mongolia.,https://ichef.bbci.co.uk/images/ic/1200x675/p07hy0wz.jpg,14 mins,828,4:30pm 14 Jun 2016,Andy meets the largest mammal ever to walk the earth in prehistoric Mongolia.,Preschool adventure series. Andy meets the largest mammal ever to walk the earth when he travels back to Mongolia thirty million years in the distant past.,Andy meets the largest mammal ever to walk the earth when he travels back to Mongolia 30 million years in the distant past. On his travels he has a night-time run-in with some hungry hyaenodons and helps a baby paraceratherium out of a sticky situation.
The Baby Club - At Home:,Signed,"BBC, iPlayer, TV, The Baby Club, At Home: 17. Outside Play",Ideas for activities to do outside with your little one!,https://ichef.bbci.co.uk/images/ic/1200x675/p08mhh0j.jpg,6 mins,347,9:25am 1 Aug 2020,Ideas for activities to do outside with your little one!,"Hosted by Giovanna from her own home, learn how being out in the fresh air helps to stimulate your baby’s senses and gives you both a change of scenery!",No data found
Andy's Dinosaur Adventures,Signed,"BBC, iPlayer, TV, Andys Dinosaur Adventures, 14. Brachiosaurus and Monkey Puzzle",Andy travels back 150 million years to the time of brachiosaurus.,https://ichef.bbci.co.uk/images/ic/1200x675/p07hxs7c.jpg,14 mins,835,6 Mar 2014,Andy travels back 150 million years to the time of brachiosaurus.,Children's dinosaur history series. Andy travels back 150 million years to the time of brachiosaurus.,"Andy travels back 150 million years to the time of brachiosaurus - a huge plant-eating dinosaur measuring 26 metres from nose to tail. His mission is to find a branch of a monkey puzzle tree - the favourite food of a brachiosaurus. But they are over 40 metres tall with no low branches - will Andy get his hands on one? And if he does, will he make it back to the museum in time before it opens?"
The Toddler Club - At Home:,Signed,"BBC, iPlayer, TV, The Toddler Club, At Home: 1. Routines",See how talking about things you do regularly helps your toddler feel safe and secure.,https://ichef.bbci.co.uk/images/ic/1200x675/p0936mwn.jpg,10 mins,614,10:20am 11 Jan 2021,See how talking about things you do regularly helps your toddler feel safe and secure.,See how talking about things you do regularly helps your toddler feel safe and secure. Giovanna hosts from her own home. Join in with the Toddler Club Bop!,No data found
Teeny Tiny Creatures - Chantelle and Rory:,Signed,"BBC, iPlayer, TV, Teeny Tiny Creatures, Chantelle and Rory: 8. Bats","Chantelle is a bat detective, while Rory and Sandy are out looking for bat clues.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b6cwc9.jpg,14 mins,842,6 Dec 2021,"Chantelle is a bat detective, while Rory and Sandy are out looking for bat clues.","Rory and Sandy are out looking for bat clues, while Chantelle is in London being a bat detective. Find out how bats help the planet and try this Teeny Tiny Task: make a bat poster.","Aness wants to find out about brilliant bats. Chantelle is in London to meet Sophie for a night-time adventure as bat detectives, while Rory and his son Sandy are at a country park looking for bat clues.Chantelle and Rory’s fact files explain how bats fly, why they hang upside down, how many kinds of bats there are and what they eat. It’s also time to find out how bats help the planet as predators and pest controllers. Sandy’s friend Zoe joins for this episode’s Teeny Tiny Task – making a brilliant bat poster."
Our Family - Our Family Fun:,Signed,"BBC, iPlayer, TV, Our Family, Our Family Fun: 3. Audrey Plays Table Tennis",Audrey has a table tennis lesson with her coach Harry. How will Audrey do?,https://ichef.bbci.co.uk/images/ic/1200x675/p09xcbb8.jpg,3 mins,177,4:43pm 24 Aug 2021,Audrey has a table tennis lesson with her coach Harry. How will Audrey do?,Audrey has a table tennis lesson with her coach Harry. How will Audrey do?,Audrey has a table tennis lesson with her coach Harry. How will Audrey do?
The Great War Interviews,History,"BBC, iPlayer, TV, The Great War Interviews, 10. Horace Leslie Birks",Tank commander Horace Leslie Birks recalls what it was like in the first tanks.,https://ichef.bbci.co.uk/images/ic/1200x675/p01t62dz.jpg,19 mins,1150,10 Mar 2014,Tank commander Horace Leslie Birks recalls what it was like in the first tanks.,"Tank commander Horace Leslie Birks recalls his nerves when commanding a tank at Passchendaele, and the battle of Cambrai, the first battle to use tanks en masse.","Horace Leslie Birks sailed for France in 1915 as a Private with the 5th Batallion of the London Rifle Brigade. Having been wounded at Gommecourt in July 1916, he was transferred to the Machine Gun Crops heavy branch and became a Second Lieutenant in February 1917.He recalls his nervousness when first ordered to command a tank in action at Passchendaele, and what it was like to operate inside those hot, steamy and altogether claustrophobic cockpits while machine gun fire and shells rained down. Next came Cambrai, the first battle to use tanks en masse."
Wolfblood - The First Pack:,CBBC,"BBC, iPlayer, TV, Wolfblood, The First Pack: 13. Irresistible",Shannon finds something that is irresistible to all wolfbloods.,https://ichef.bbci.co.uk/images/ic/1200x675/p01hz0qp.jpg,28 mins,1669,5:15pm 22 Oct 2012,Shannon finds something that is irresistible to all wolfbloods.,"Maddy Smith hides an extraordinary secret. Rhydian's brother shows up in town, and Shannon finds something that is irresistible to all wolfbloods.","Teenager Maddy Smith tries to live an ordinary life, despite hiding an extraordinary secret - even from her closest friends. Rhydian's brother shows up in town, and Shannon gets hold of Kyle's wolfbait, which is irresistible to all wolfbloods, including Maddy..."
4 O'Clock Club - The First Gang:,Signed,"BBC, iPlayer, TV, 4 OClock Club, The First Gang: 7. Football","Josh, Ryan and Ash sign up for the school football team to get out of lessons.",https://ichef.bbci.co.uk/images/ic/1200x675/p04kjmqj.jpg,25 mins,1500,5:30pm 24 Feb 2012,"Josh, Ryan and Ash sign up for the school football team to get out of lessons.","Comedy. Josh, Ryan and Ash sign up for the school football team to get out of lessons, but discover that even studying is preferable to PE.","Comedy about two brothers at the same school - one as a pupil, the other as a new teacher. Josh, Ryan and Ash sign up for the school football team to get out of lessons, but discover that even studying is preferable to PE teacher Thorne's strict disciplinary regime."
Life on Earth,Documentaries,"BBC, iPlayer, TV, Life on Earth, 4. The Swarming Hordes",David Attenborough looks at the role of a few of the millions of insect species.,https://ichef.bbci.co.uk/images/ic/1200x675/p06xjzs9.jpg,54 mins,3263,8:10pm 6 Feb 1979,David Attenborough looks at the role of a few of the millions of insect species.,The story of life from the first primitive cells to the plants and animals that now live around us. David Attenborough looks at the role of insect species.,"David Attenborough looks at the role of a few of the millions of insect species, some of which have developed extremely close relationships with plants. Insects pollinate flowers and in some cases neither flower nor insect can survive without the other."
Civilisation,Documentaries,"BBC, iPlayer, TV, Civilisation, 10. The Smile of Reason",A look at the beginnings of revolutionary politics in the 18th Century.,https://ichef.bbci.co.uk/images/ic/1200x675/p04xl4p2.jpg,49 mins,2939,8:15pm 27 Apr 1969,A look at the beginnings of revolutionary politics in the 18th Century.,Kenneth Clark looks at the beginnings of revolutionary politics in the 18th Century.,"Kenneth Clark looks at the beginnings of revolutionary politics in the 18th Century. His theme takes him from great palaces like Blenheim and Versailles, to Edinburgh, and to the hills of Virginia where Thomas Jefferson made his home in the 1760s."
"Sex, Drugs & Murder - Life in the Red Light Zone:",Documentaries,"BBC, iPlayer, TV, Sex, Drugs & Murder, Life in the Red Light Zone: 8. Under Pressure","Adele is attacked with an iron bar, and Amy has given up the game.",https://ichef.bbci.co.uk/images/ic/1200x675/p052bh5z.jpg,15 mins,916,30 Apr 2017,"Adele is attacked with an iron bar, and Amy has given up the game.","Adele is attacked with an iron bar, Amy has given up the game, and Sammy Jo is still living at her ex-boyfriend's house and has nowhere else to go.","Adele is attacked with an iron bar, Amy has given up the game, and Sammy Jo is still living at her ex-boyfriend's house and has nowhere else to go."
Celebrity MasterChef - A Recipe for Success:,Entertainment,"BBC, iPlayer, TV, Celebrity MasterChef, A Recipe for Success: 6. Simply the Best",John and Gregg pick the most amazing dishes and challenges from 15 years of the series.,https://ichef.bbci.co.uk/images/ic/1200x675/p08r6l65.jpg,58 mins,3493,8pm 10 Sep 2020,John and Gregg pick the most amazing dishes and challenges from 15 years of the series.,"John and Gregg choose some of the very best highlights from 15 years of Celebrity MasterChef, from the most amazing dishes to the most outstanding challenges.","John Torode and Gregg Wallace choose some of the very best highlights from 15 years of Celebrity MasterChef, from the most amazing dishes and the most outstanding challenges to some of the most impressive individual success stories.They reflect on what it takes to be the best, recalling the moment in 2012 when the semi finalists took over the brasserie on a cross-channel ferry. They also revisit one of the final challenges from 2008, when three celebrities got to cook with Marcus Wareing, resulting in one of the most memorable moments in Celebrity MasterChef history."
The Cruise,Documentaries,"BBC, iPlayer, TV, The Cruise, 10. First Night Nerves",An emergency dress rehearsal is called so the new shows singer can test out her voice.,https://ichef.bbci.co.uk/images/ic/1200x675/p09ls5f0.jpg,28 mins,1705,11 Feb 1998,An emergency dress rehearsal is called so the new show's singer can test out her voice.,"Classic docusoap with singer Jane McDonald. The ship's new show goes on tonight. But not before an emergency dress rehearsal at which Michelle, the lead singer, tests out her ravaged voice.","After three days rehearsal, the ship's new show goes on tonight. But not before an emergency dress rehearsal at which Michelle, the lead singer, tests out her ravaged voice. Meanwhile, Jane has a makeover in the ship's hairdressers, and Dale and Mary go for a romantic rafting trip in Jamaica."
The Apprentice Australia - 2021:,Entertainment,"BBC, iPlayer, TV, The Apprentice Australia, 2021: 4. Designer Swimwear",The celebrities design and model swimwear at a fashion show at Sydneys Bondi Icebergs.,https://ichef.bbci.co.uk/images/ic/1200x675/p09yjn91.jpg,66 mins,3951,18 Oct 2021,The celebrities design and model swimwear at a fashion show at Sydney's Bondi Icebergs.,The celebrities design and model swimwear at a fashion show at Sydney's iconic Bondi Icebergs pools. But there's a surprise when Lord Sugar presents them with two new celebrities to join their teams.,No data found
Planet Earth,From the Archives,"BBC, iPlayer, TV, Planet Earth, 9. Shallow Seas",David Attenborough narrates the epic journey of a humpback whale and calf.,https://ichef.bbci.co.uk/images/ic/1200x675/p05ccs36.jpg,59 mins,3532,9pm 26 Nov 2006,David Attenborough narrates the epic journey of a humpback whale and calf.,Documentary series celebrating our planet. David Attenborough narrates the journey of a humpback whale and calf as they cross the richest seas that fringe our coasts.,"Documentary series which celebrates our planet in all its glory, both its spectacular scenery and its captivating natural history. David Attenborough narrates the epic journey of a humpback whale and calf as they cross the richest seas that fringe our coasts. From tropical paradises, where the newborn calf takes his first faltering breaths, to the storm-ravaged icy polar seas, the whales' great feeding grounds, the programme reveals seas of great contrast and surprise."
Around the World in 80 Gardens,Documentaries,"BBC, iPlayer, TV, Around the World in 80 Gardens, 5. USA",Monty Don meets garden guerrillas in New York and visits a Virginian garden.,https://ichef.bbci.co.uk/images/ic/1200x675/p094cdrx.jpg,59 mins,3556,9pm 24 Feb 2008,Monty Don meets garden guerrillas in New York and visits a Virginian garden.,"Monty Don sees the world through 80 of its most inspiring gardens. He meets garden guerrillas in New York, and visits a Virginian garden that reflects the birth of the nation.","Monty Don continues his extraordinary journey to see the world through 80 of its most inspiring gardens with a visit to the richest and most powerful nation in the world: the United States of America.His plan is to see how America expresses its vast wealth and incredible energy through its gardens. And at a time when the USA is grappling to define its environmental goals, Monty inevitably hopes to find a powerful movement towards sustainable gardening. Beginning in New York, where garden guerrillas are creating community gardens from derelict land, he then travels south to Virginia, to visit a garden that reflects the birth of the nation's relationship with the land. Finally, he travels west to California, to see if gardens there reflect more than the glitz of the movie industry."
Life,Documentaries,"BBC, iPlayer, TV, Life, 2. Reptiles and Amphibians",A look at the strategies used by reptiles and amphibians to conquer their shortcomings.,https://ichef.bbci.co.uk/images/ic/1200x675/p01gkc3k.jpg,59 mins,3530,9pm 19 Oct 2009,A look at the strategies used by reptiles and amphibians to conquer their shortcomings.,"David Attenborough reveals the strategies used by reptiles and amphibians to conquer their shortcomings, whether for safety, breeding or capturing prey.","Reptiles and amphibians look like hang-overs from the past. But they overcome their shortcomings through amazing innovation. The pebble toad turns into a rubber ball to roll and bounce from its enemies. Extreme slow-motion shows how a Jesus Christ lizard runs on water, and how a chameleon fires an extendible tongue at its prey with unfailing accuracy. The camera dives with a Niuean sea snake, which must breed on land but avoids predators by swimming to an air bubble at the end of an underwater tunnel. In a TV first, komodo dragons hunt a huge water-buffalo, biting it to inject venom, then waiting for weeks until it dies. Ten dragons strip the carcass to the bone in four hours."
Rewind - 1980s:,Documentaries,"BBC, iPlayer, TV, Rewind, 1980s: 8. 1987","A look back at the music, news and sport of 1987.",https://ichef.bbci.co.uk/images/ic/1200x675/p09r2yns.jpg,28 mins,1678,8:30pm 18 Aug 2021,"A look back at the music, news and sport of 1987.","Rewind back to 1987 and relive the music, news and events hitting the headlines of this memorable year.","Rewind takes a look back at 1987 and the news, music and stories from Scotland and around the world. It was the year Margaret Thatcher won an historic third term in office and US President Ronald Reagan travelled to West Germany and issued a demand to Mikhail Gorbachev to ease the Cold War. In sport, Australia and New Zealand hosted the first Rugby World Cup while closer to home St Mirren won their first ever Scottish Cup. Scots bands Hue and Cry and The Proclaimers were making the charts alongside US singer Whitney Houston, while Tutti Frutti entertained us on TV and Dirty Dancing was a hit on the big screen."
Snooker: Welsh Open - 2022:,Sports,"BBC, iPlayer, TV, Snooker: Welsh Open, 2022: 2. Day One - Part 2",Catrin Heledd presents live Welsh Open coverage as Ronnie O’Sullivan takes on Sam Craigie.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bs6z5r.jpg,59 mins,3539,7pm 28 Feb 2022,Catrin Heledd presents live Welsh Open coverage as Ronnie O’Sullivan takes on Sam Craigie.,Catrin Heledd introduces live action from the ICC Wales as Ronnie O’Sullivan takes on Sam Craigie.,No data found
Eating with My Ex - Shorts:,Entertainment,"BBC, iPlayer, TV, Eating with My Ex, Shorts: 10. Charlotte & Connor - Did Long Distance Break Us Up?",A long distance relationship didnt work for Charlotte & Connor - is anyone to blame?,https://ichef.bbci.co.uk/images/ic/1200x675/p05db9r4.jpg,5 mins,305,28 Aug 2017,A long distance relationship didn't work for Charlotte & Connor - is anyone to blame?,Charlotte & Connor couldn't make their long distance relationship work - why did it end? Is anyone to blame?,Charlotte & Connor couldn't make their long distance relationship work - why did it end? Is anyone to blame?
Full Circle with Michael Palin,Documentaries,"BBC, iPlayer, TV, Full Circle with Michael Palin, 9. Peru and Colombia",Michael Palin travels from the Peruvian rainforest to Colombia.,https://ichef.bbci.co.uk/images/ic/1200x675/p08tm005.jpg,49 mins,2939,7:55pm 2 Nov 1997,Michael Palin travels from the Peruvian rainforest to Colombia.,"From a canoe in the Peruvian rainforest, Michael Palin visits Machiguenga Indian villages in one of remotest spots on planet. He then he sails down Amazon on a restored riverboat.","Michael Palin travels the Pacific Rim, through 18 countries. On this leg, he takes an open canoe trip through the middle of the breathtaking Peruvian rainforest and, in one of the remotest parts of the world, finds that a community of Indians is being touched by outside influences. Next, he visits Bogota, the Colombian capital, and Cartagena, one of the oldest cities in the Americas."
Human Universe,Documentaries,"BBC, iPlayer, TV, Human Universe, 2. Why Are We Here?",Brian Cox tackles the question that unites Earths seven billion people - why are we here?,https://ichef.bbci.co.uk/images/ic/1200x675/p027f2g0.jpg,59 mins,3554,9pm 14 Oct 2014,Brian Cox tackles the question that unites Earth's seven billion people - why are we here?,Professor Brian Cox explores our place in the universe. He tackles the question that unites the seven billion people sharing this planet - why are we here?,"Brian Cox reveals how the wonderful complexity of nature and human life is simply the consequence of chance events constrained by the laws of physics that govern our universe. But this leads him to a deeper question - why does our universe seem to have been set up with just the right rules to create us? In a dizzying conclusion Brian unpicks this question, revealing the very latest understanding of how the universe came to be this way, and in doing so offers a radical new answer to why we are here."
"Fred Dibnah's World of Steam, Steel and Stone",Documentaries,"BBC, iPlayer, TV, Fred Dibnahs World of Steam, Steel and Stone, 2. Backstreet Mechanic","Looking at Freds unique garden, made from scrap and cast-offs from mills and factories.",https://ichef.bbci.co.uk/images/ic/1200x675/p01lb42m.jpg,29 mins,1741,18 Jul 2006,"Looking at Fred's unique garden, made from scrap and cast-offs from mills and factories.",Fred Dibnah looks at industrialisation in Britain. Dibnah's garden was perhaps the finest working steam-powered engineering workshop in the country.,"The late Lancastrian steeplejack Fred Dibnah traces the development of industrialisation in Britain. Dibnah described himself as a backstreet mechanic and believed he was awarded his MBE and honorary doctorates for this reason. His garden was all assembled from scrap and the cast offs from old mills and factories, but it was probably the finest working example of a steam-powered engineering workshop in the country.The mechanical and engineering skills he demonstrated in his garden combined with his ability to explain how things worked opened up the world of engineering history to a wide audience."
Operation Ouch! - Hospital Takeover:,Signed,"BBC, iPlayer, TV, Operation Ouch!, Hospital Takeover: 8. Big Burps!",The doctors find out why we burp and film Dr Xand burping from the inside.,https://ichef.bbci.co.uk/images/ic/1200x675/p04hwfp2.jpg,28 mins,1695,5:30pm 30 Nov 2016,The doctors find out why we burp and film Dr Xand burping from the inside.,The doctors find out why we burp and film Dr Xand burping from the inside. They also get behind the wheel to discover what it takes to be a good ambulance driver.,"The doctors find out why we burp and even manage a world-first when they film Dr Xand burping from the inside. They also get behind the wheel to discover what it takes to be a good ambulance driver in Operation Takeover. Dr Xand joins the radiology department to find out how they see inside our bodies and Dr Chris is answering medical questions on the wards in Ouch and About On Call. Meanwhile in Accident and Emergency, one patient has cut her hand doing arts and crafts, and we meet a familiar face with a dislocated jaw."
Teeny Tiny Creatures - Ferne and Rory:,Signed,"BBC, iPlayer, TV, Teeny Tiny Creatures, Ferne and Rory: 5. Frogs",Ferne learns why frogs are so important to the planet. Rory and Sandy build a garden pond.,https://ichef.bbci.co.uk/images/ic/1200x675/p096pl37.jpg,14 mins,841,15 Feb 2021,Ferne learns why frogs are so important to the planet. Rory and Sandy build a garden pond.,"Rory and Sandy look for frogs and make a pond in the garden. Ferne meets some amazing amphibians including poison dart frogs. Also, we learn why frogs are so important to the planet.","Jasiri finds out some fascinating frog facts! Rory and his son Sandy hop like frogs to the local lochside and make a pond in their garden. Ferne visits an aquarium to meet some amazing amphibians including poison dart frogs. Also, we find out why frogs' place in the food web makes them so important to the balance of the planet."
Unsolved - The Boy Who Disappeared:,Documentaries,"BBC, iPlayer, TV, Unsolved, The Boy Who Disappeared: 8. The Dig",Alys and Bronagh deploy a cadaver dog to search for Damien’s body.,https://ichef.bbci.co.uk/images/ic/1200x675/p042kd66.jpg,18 mins,1062,1 Aug 2016,Alys and Bronagh deploy a cadaver dog to search for Damien’s body.,Alys and Bronagh deploy a cadaver dog to search for Damien’s body.,"Alys and Bronagh deploy a cadaver dog to search for Damien’s body. Ultimately, they are led to one of the island’s most notorious drug dealers – a man rumoured to have information about Damien’s disappearance.When the team track this dealer down, he makes an astonishing offer…"
University Challenge - Christmas 2021:,Entertainment,"BBC, iPlayer, TV, University Challenge, Christmas 2021: 5. Corpus Christi, Cambridge v St Annes, Oxford",Its match five of this special Christmas series. Jeremy Paxman asks the questions.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bbrmrp.jpg,29 mins,1731,7:30pm 24 Dec 2021,It's match five of this special Christmas series. Jeremy Paxman asks the questions.,"It’s match five of this special Christmas series for distinguished alumni. Corpus Christi College, Cambridge, play St Anne's College, Oxford. Jeremy Paxman asks the questions.","It’s match five of this special Christmas series for distinguished alumni. Novelist Helen Oyeyemi and literary editor Robert McCrum play on behalf of Corpus Christi College, Cambridge, fighting it out for a place in the semi-finals against St Anne's College, Oxford, featuring comedian John Robins and engineer Roma Agrawal.Jeremy Paxman asks the questions."
Louis Theroux - Life on the Edge:,Documentaries,"BBC, iPlayer, TV, Louis Theroux, Life on the Edge: 2. The Dark Side of Pleasure",Louis Theroux explores how America has taken our darkest desires and commodified them.,https://ichef.bbci.co.uk/images/ic/1200x675/p08qsnx6.jpg,59 mins,3551,9pm 13 Sep 2020,Louis Theroux explores how America has taken our darkest desires and commodified them.,Journalist Louis Theroux looks back at 25 years of documentaries and explores how America has managed to take our darkest desires and commodify them.,"Louis explores how America has managed to take our darkest desires, commodify them and turn them into a saleable product. From his memorable Weird Weekends episodes on porn and rap to films about Las Vegas and the US opioid crisis, this episode explores a very human tendency to jump to the dark side when seeking out pleasure – whether through indulgence, risk-taking or the joy of doing something seen as ‘bad’ or 'wrong’.  Louis re-connects with porn-star JJ, who over 20 years ago was just making his way in the adult industry but has since turned his back on that world in favour of a new life in eastern Europe.  And Louis catches up once more with Katilia from Heroin Town, whom he last saw hopelessly addicted to drugs, with little sign of turning her life around."
CBeebies Bedtime Stories - 8,Signed,"BBC, iPlayer, TV, CBeebies Bedtime Stories, 821. Mr Tumble - Be a Friend",Sing along with your friend Mr Tumble as he tells tonights Bedtime Story.,https://ichef.bbci.co.uk/images/ic/1200x675/p01w5205.jpg,5 mins,300,6:50pm 21 Mar 2022,Sing along with your friend Mr Tumble as he tells tonight's Bedtime Story.,Sing along with your friend Mr Tumble as he tells tonight's Bedtime Story.,No data found
The Next St,Signed,"BBC, iPlayer, TV, The Next Step, Specials: Dancemania Front Row",A talented group of teenage dancers battle for glory at the Regional Championships.,https://ichef.bbci.co.uk/images/ic/1200x675/p09m4492.jpg,39 mins,2319,7pm 24 Jun 2021,A talented group of teenage dancers battle for glory at the Regional Championships.,A talented group of teenage dancers battle for glory at the Regional Championships.,No data found
QI,Entertainment,"BBC, iPlayer, TV, QI, Series S: 4. Sideshows, Stunts & Scavenger Hunts","Sandi Toksvig looks at sideshows, stunts and scavenger hunts.",https://ichef.bbci.co.uk/images/ic/1200x675/p09wklsp.jpg,29 mins,1769,10pm 30 Sep 2021,"Sandi Toksvig looks at sideshows, stunts and scavenger hunts.","Sandi Toksvig looks at sideshows, stunts and scavenger hunts with Alan Davies, Gyles Brandreth, Rosie Jones and Nish Kumar.",No data found
Drugs Map of Britain,Documentaries,"BBC, iPlayer, TV, Drugs Map of Britain, 1. Wolverhampton: Getting Off Mamba",Following 27-year-old Liam in his battle to quit the synthetic cannabinoid black mamba.,https://ichef.bbci.co.uk/images/ic/1200x675/p03pm9rc.jpg,26 mins,1565,4 Apr 2016,Following 27-year-old Liam in his battle to quit the synthetic cannabinoid black mamba.,Series looking at drug use across Britain. Following 27-year-old Liam over three months as he tries to quit the synthetic cannabinoid black mamba.,"In the first of our landmark new series looking at drug use across Britain, we explore a legal high epidemic in Wolverhampton. Following 27-year-old Liam over three months in his battle to quit the synthetic cannabinoid black mamba. Legal highs have now been outlawed by the British government. The ban comes as a response to the increasing use of synthetic drugs across the streets of Britain."
The Blue Planet,Documentaries,"BBC, iPlayer, TV, The Blue Planet, 6. Coral Seas",This programme focuses on the amazingly fragile ecosystems of the worlds coral reefs.,https://ichef.bbci.co.uk/images/ic/1200x675/p05rr3rz.jpg,58 mins,3483,9pm 17 Oct 2001,This programme focuses on the amazingly fragile ecosystems of the world's coral reefs.,"David Attenborough narrates a natural history of the oceans. Developed over centuries, coral reefs house fragile ecosystems, but they too have to fight to survive.","Amazingly beautiful and complex, coral reefs develop from humble beginnings. Tiny larvae settle and then over hundreds of years the intricate and fragile reefs that we so enjoy grow, inch by inch. Reefs are adorned with spectacularly colourful life, but it is no tropical paradise. Space is at a premium and even the coral itself fights to survive. And then, at night, the sharks come out to hunt. Layer upon layer the coral supports innumerable animals, but one big storm can threaten the entire community."
Daydreams - Little Daydreams:,Signed,"BBC, iPlayer, TV, Daydreams, Little Daydreams: 2. Beautiful Bubbles",Beautiful images of children playing with bubbles with calming music to help you relax.,https://ichef.bbci.co.uk/images/ic/1200x675/p09bstl2.jpg,5 mins,313,28 Mar 2021,Beautiful images of children playing with bubbles with calming music to help you relax.,Wind down with Little Daydreams. Come on a journey through beautiful images of children playing with bubbles blowing in the breeze with calming music to help you unwind and relax.,"Wind down with Little Daydreams and come on a journey through calming images of children playing with beautiful bubbles, dandelion seeds, wind chimes and saris blowing in the breeze. Little Daydreams focuses on the finer details of the world with calming music to help you unwind and relax."
Around the World in 80 Days,Documentaries,"BBC, iPlayer, TV, Around the World in 80 Days, 2. Arabian Frights",Disaster strikes when Michael misses his connection at the Saudi port of Jeddah.,https://ichef.bbci.co.uk/images/ic/1200x675/p07nl3pt.jpg,49 mins,2934,18 Oct 1989,Disaster strikes when Michael misses his connection at the Saudi port of Jeddah.,Actor and writer Michael Palin emulates Phileas Fogg's global circumnavigation. Disaster strikes when Michael misses his connection at the Saudi port of Jeddah.,"Actor and writer Michael Palin emulates Phileas Fogg's global circumnavigation. Disaster strikes when Michael misses his connection at the Saudi port of Jeddah, which means that by the time he reaches Bombay, he is likely to be at least seven days behind his fictional rival."
Floyd on France,Food,"BBC, iPlayer, TV, Floyd on France, 1. Provence",Keith Floyd celebrates the great gastronomic regions of France. (1987),https://ichef.bbci.co.uk/images/ic/1200x675/p062ct6v.jpg,38 mins,2284,1 Sep 1987,Keith Floyd celebrates the great gastronomic regions of France. (1987),Keith Floyd celebrates the great gastronomic regions of France by returning to the rich landscape of Provence where he discovered his passion for good food and cooking. (1987),"In the first programme in the series celebrating the great gastronomic regions of France, shy and retiring cook Keith Floyd returns to the rich landscape of Provence where he discovered his passion for good food and cooking. (1987)"
