title,category,tags,description,image,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large
The A to Z of TV Gardening - Shorts: Letter I,Documentaries,"BBC, iPlayer, TV, The A to Z of TV Gardening, Shorts: Letter I","In this episode, I is for insects, and we bask in the beauty of butterflies.",https://ichef.bbci.co.uk/images/ic/1200x675/p08vr5q4.jpg,10 mins,575,1pm 16 Jul 2014,"In this episode, 'I' is for insects, and we bask in the beauty of butterflies.","In this episode, 'I' is for insects. We bask in the beauty of butterflies while commiserating with Joe Swift over the insects that are eating their way through his allotment.","Carol Kirkwood takes an alphabetical journey through the world of gardening, getting inspiration and advice from some of the BBC's most popular garden presenters and programmes. In this episode, 'I' is for insects. We bask in the beauty of butterflies while commiserating with Joe Swift over the insects that are eating their way through his allotment."
Scam Stories: The Money Drop,Documentaries,"BBC, iPlayer, TV, Scam Stories: The Money Drop",The shocking tales of 3 young people who have fallen prey to social media scammers.,https://ichef.bbci.co.uk/images/ic/1200x675/p09b26jx.jpg,25 mins,1505,24 Mar 2021,The shocking tales of 3 young people who have fallen prey to social media scammers.,"Scam Stories tells the shocking tales of Ofunne, Victoria and Zachary, 3 young people who have fallen prey to social media scammers.","Scam Stories tells the shocking tales of Ofunne, Victoria and Zachary, 3 young people who have fallen prey to social media scammers. Duped by false promises of easy and 'legit' money, they soon learned that their accounts would be used to deposit and withdraw large sums of stolen money in a process known as ‘Squares’ or ‘Drops’, or better known to the Police and the Fraud Squad as ‘Money Muling’. The results are often catastrophic for the defrauded people and the unwitting hosts. This episode charts their personal, emotional stories from the first DM on social media through to the final deposit and the life changing police involvement that followed."
Our World - America's New Abortion Battle,Documentaries,"BBC, iPlayer, TV, Our World, Americas New Abortion Battle",Abortion has long been a fault line in America. Now those who want to ban it scent victory,https://ichef.bbci.co.uk/images/ic/1200x675/p0bjkv7b.jpg,23 mins,1366,21 Jan 2022,Abortion has long been a fault line in America. Now those who want to ban it scent victory,"Abortion has long been a fault line in American politics. Now those who want to ban it scent a famous victory, with implications for millions.",No data found
The Gap Year Paedophile,Documentaries,"BBC, iPlayer, TV, The Gap Year Paedophile",Reporter Bronagh Munro investigates the case of Richard Huckle.,https://ichef.bbci.co.uk/images/ic/1200x675/p05glxks.jpg,62 mins,3733,25 Sep 2017,Reporter Bronagh Munro investigates the case of Richard Huckle.,"Reporter Bronagh Munro investigates the case of Richard Huckle, who was convicted of a large number of sexual offences against children in Malaysia.","Reporter Bronagh Munro investigates how a teenage gap year student became one of Britain's worst ever paedophiles.In 2016, 30-year-old Richard Huckle was imprisoned after being convicted at the Old Bailey of abusing 23 children in Malaysia and Cambodia. Working as an English teacher and posing as a Christian, Huckle raped and sexually assaulted vulnerable and poor children of all ages. On the dark web, he shared tens of thousands of images of his crimes, boasted about them and even published a manual for paedophiles.This film investigates how Huckle escaped detection for nearly a decade and reveals that he could have been stopped earlier. Following Huckle's trail to India, where his movements have not been investigated by the authorities, Munro uncovers potentially previously undetected crimes. The film asks whether Huckle also abused children in Britain and reveals that the true count of his victims is likely to number into the hundreds."
Stacey Dooley - Hate and Pride in Orlando,Documentaries,"BBC, iPlayer, TV, Stacey Dooley, Hate and Pride in Orlando",Stacey Dooley travels to Orlando in the aftermath of the Pulse Bar shootings.,https://ichef.bbci.co.uk/images/ic/1200x675/p07jzpdp.jpg,16 mins,948,24 Jun 2016,Stacey Dooley travels to Orlando in the aftermath of the Pulse Bar shootings.,Stacey Dooley travels to Orlando in the aftermath of the Pulse Bar shootings.,"Stacey Dooley travels to Orlando in the aftermath of the Pulse Bar shootings in 2016.She attends vigils, marches and funerals to see how America responds to this latest atrocity and she’ll ask if this could be the one to finally make a difference.Stacey explores the levels of prejudice and homophobia faced daily by the LGBT community in America, levels that are often compounded if you belong to an ethnic or religious minority.With revelations that the shooter may himself have been gay, she will also try to track down and talk with gay Muslims to understand the conflict they face between their religion and their sexuality."
Double Mastectomy Twins,Documentaries,"BBC, iPlayer, TV, Double Mastectomy Twins","Following twins who, predisposed to breast cancer, have opted for a double mastectomy.",https://ichef.bbci.co.uk/images/ic/1200x675/p07jzpgk.jpg,27 mins,1620,6 Feb 2017,"Following twins who, predisposed to breast cancer, have opted for a double mastectomy.","Documentary following twins who have chosen to undergo a double mastectomy to reduce their chances of developing breast cancer, after losing their mum to the disease.","Twins Rose and Charlotte lost their mum to breast cancer when they were just ten. Now, as adults, the twins have discovered they too have the BRCA2 gene that predisposes them to the same condition as their mum.This programme follows the twins through pre-emptive double mastectomy operations - a choice they have made to reduce their chances of developing breast cancer."
Stacey Dooley - Migrant Kids in Crisis,Documentaries,"BBC, iPlayer, TV, Stacey Dooley, Migrant Kids in Crisis",Stacey Dooley travels to Greece to follow children on the migrant trail.,https://ichef.bbci.co.uk/images/ic/1200x675/p03q9brg.jpg,31 mins,1831,19 Apr 2016,Stacey Dooley travels to Greece to follow children on the migrant trail.,"Stacey Dooley travels to Greece to follow children on the migrant trail, as they flee wars and seek new lives in Western Europe.","First shown in 2016, Stacey Dooley travels to Greece to follow children on the migrant trail, as they flee wars and seek new lives in Western Europe. From small toddlers travelling with families to unaccompanied teenagers journeying thousands of miles alone, Stacey witnesses their experiences first hand. During her trip, Greece closes its borders to migrants and Stacey sees the striking impact of this on the young and vulnerable."
We Are England - Belonging: Our Skate Park Life - Hastings,Documentaries,"BBC, iPlayer, TV, We Are England, Belonging: Our Skate Park Life - Hastings",Riders in Hastings prepare for one of England’s top BMX competitions.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bpndrg.jpg,29 mins,1740,23 Feb 2022,Riders in Hastings prepare for one of England’s top BMX competitions.,"Riders in Hastings prepare for one of England’s top BMX competitions. Will their captain, Stu, be able to take the heat and take his team to victory?","Every year, Hastings hosts one of England’s top BMX competitions, the Battle of Hastings, attended by riders from across the world. Stu is a semi-pro BMX rider who coaches local children and who now faces one of his biggest challenges – captaining a team competing against some of the world’s best riders. Supporting him from the crowd is his mate, Louis. Louis is a self-taught bike mechanic, who learnt his trade fixing his bikes as a child. He’s starting his own business at local indoor skate park, Source Park, and his future is looking bright. But he’s had his battles and at one point he struggled with his mental health. The skating community helped him through.Also cheering Stu on is Flukey. Flukey’s a skateboarder and many in their community credit Flukey with bringing the BMXers and skateboarders together. After going through a period of homelessness in his teenage years Flukey says the skatepark saved him, making him feel ‘safe’ and ‘free again’. This film explores how the skatepark has made these three friends who they are, and how it brings them together."
9/11: Inside the President's War Room,Documentaries,"BBC, iPlayer, TV, 9/11: Inside the Presidents War Room","Twelve hours with the president on 9/11 as it changed him, America and the world.",https://ichef.bbci.co.uk/images/ic/1200x675/p09t52tg.jpg,89 mins,5336,31 Aug 2021,"Twelve hours with the president on 9/11 as it changed him, America and the world.","Twelve hours with the president on 9/11 – with direct testimony from President Bush, Vice-President Cheney and senior staff – as it changed them, America and the world","Twenty years ago, at 9.03am on 11 September 2001, the second of four hijacked planes hit the South Tower of the World Trade Center in New York. America was under attack. President George W Bush was sitting in front of seven-year-olds in a classroom in Florida. Members of the president’s security detail thought the next plane could be aimed at them. A first draft of history and a claustrophobic clock-ticking thriller, this film tells the story of the presidency on arguably the most consequential day in recent history. How should a government deal with a large scale terrorist attack that used four commercial aircraft as missiles? How would they cope with losing their friends? And how could they respond? As the clock ticks, the administration make the greatest decisions of their lives: should they order fighter jets to shoot on American civilians? Should the president declare war or calm a battered nation? How would the leadership of the most powerful nation on earth grapple with the national and international implications?This documentary tells the definitive story of the Bush administration through 12 hours of that momentous day, with first-hand testimony from President Bush, Vice-President Dick Cheney, National Security Advisor Condoleezza Rice and other senior staff who had their hands on the levers of power. The events of that day led to two decades of conflict in Afghanistan and Iraq. As America and its allies now withdraw from Afghanistan and the Taliban resume control, this is the story of how it all began."
One Pair of Eyes - Georgia Brown: Who Are the Cockneys Now?,Documentaries,"BBC, iPlayer, TV, One Pair of Eyes, Georgia Brown: Who Are the Cockneys Now?","Singer and actress Georgia Brown revisits her old home in Whitechapel, East London. (1968)",https://ichef.bbci.co.uk/images/ic/1200x675/p01hhbxx.jpg,42 mins,2530,17 Aug 1968,"Singer and actress Georgia Brown revisits her old home in Whitechapel, East London. (1968)","First transmitted in 1968, Georgia Brown revisits her childhood Whitechapel home to see how the Jewish community is coming to terms with a more diverse immigrant population.","First transmitted in 1968, singer and actress Georgia Brown revisits her old childhood home in Whitechapel, East London and notes the fading presence of the Jewish immigrant community. Brown discusses the recent change in the area's increasingly diverse population and ponders the question, ""Who are the cockneys now?"""
